,idtramo,transito (vh/h),des_tramo,coordinates,color
27,A137,461,JAIME BELTRAN,"[[-0.38684540710000004, 39.4591203153], [-0.38690272680000004, 39.4579005297], [-0.3869059767, 39.4578537389], [-0.3869113139, 39.457807067], [-0.3869187365, 39.4577605682], [-0.3869282425, 39.4577142963], [-0.38693980650000004, 39.457668305], [-0.386953415, 39.457622648], [-0.3869690652, 39.4575773971], [-0.3869867327, 39.4575325881], [-0.38700639200000003, 39.4574882742], [-0.38702801740000004, 39.4574445271], [-0.38705159580000004, 39.4574013824], [-0.38707707890000004, 39.4573588931], [-0.3871044641, 39.4573171222], [-0.3871336922, 39.4572761045], [-0.3871647375, 39.4572359024], [-0.3871975635, 39.45719656], [-0.3872321221, 39.4571581215], [-0.38726839960000004, 39.4571206405], [-0.3873063135, 39.4570841513], [-0.38734585, 39.4570487074], [-0.38738693830000004, 39.4570143435], [-0.3874295413, 39.4569811127], [-0.3874736117, 39.4569490409], [-0.3875190781, 39.4569181717], [-0.3875659037, 39.4568885582], [-0.3876140301, 39.4568602081], [-0.3876633974, 39.4568331652], [-0.38771394610000004, 39.4568074731], [-0.3877656054, 39.4567831572], [-0.3878183281, 39.4567602346], [-0.387872043, 39.4567387486], [-0.38792667940000003, 39.4567187247], [-0.3879821901, 39.4567001799], [-0.38803848160000004, 39.4566831301], [-0.3880955177, 39.4566676104], [-0.3881532049, 39.4566536368], [-0.3882114847, 39.4566412171], [-0.3882702865, 39.4566303766], [-0.3883295403, 39.4566211227], [-0.388389176, 39.456613463], [-0.3884491118, 39.4566074135], [-0.3885092777, 39.4566029818], [-0.3903182981, 39.4564941684]]","(0, 255, 0)"
28,A138,234,JAIME ROIG,"[[-0.3627839432, 39.4838263067], [-0.36514525330000003, 39.4790662461]]","(0, 255, 0)"
29,A139,858,JESUS,"[[-0.3867434936, 39.4623279576], [-0.3826743034, 39.4670347962]]","(255, 165, 0)"
30,A14,624,ALBORAIA,"[[-0.3721257041, 39.479701032], [-0.3711451991, 39.4809250746], [-0.3689679883, 39.4851159754]]","(255, 165, 0)"
31,A141,330,JOAQUIN BALLESTER,"[[-0.3929441698, 39.4814242683], [-0.38974306070000003, 39.4827968866], [-0.38970910550000004, 39.4828120334], [-0.3896758269, 39.4828280512], [-0.3896432597, 39.4828449408], [-0.389611452, 39.4828626583], [-0.3895804272, 39.4828812042], [-0.38955023250000004, 39.4829005524], [-0.38952089240000004, 39.4829206766], [-0.3894924542, 39.4829415507], [-0.3886749235, 39.4835621579], [-0.3851797672, 39.4850606399]]","(0, 255, 0)"
32,A142,323,JOAQUIN BENLLOCH,"[[-0.3782230909, 39.4558872821], [-0.373412903, 39.4490379171]]","(0, 255, 0)"
33,A143,1530,LINARES,"[[-0.3960947938, 39.4681143821], [-0.39152828910000004, 39.4690326109]]","(255, 165, 0)"
34,A144,2538,LLANO DE ZAIDIA,"[[-0.3817675696, 39.4826840875], [-0.3804185466, 39.4829822613]]","(255, 0, 0)"
35,A145,756,LORCA,"[[-0.3925212292, 39.4674709627], [-0.39152828910000004, 39.4690326109]]","(255, 165, 0)"
36,A146,1800,MAESTRO RODRIGO,"[[-0.3968628496, 39.4765059475], [-0.3985760518, 39.4789056494]]","(255, 165, 0)"
